	localization	go
C008269	lysosome	go2
C008276	endoplasmic_reticulum	go3
C008277	nucleus	go2
C008326	nucleus	go2
C008335	lysosome	go1
C008337	nucleus	go1
C008340	endoplasmic_reticulum	go1
C008363	lysosome	go3
C008432	mitochondria	go3
C008455	nucleus	go3
C008487	nucleus	go1
C008505	mitochondria	go1
C008520	endoplasmic_reticulum	go1
C008522	lysosome	go1
C008575	mitochondria	go1
C008579	nucleus	go3
C008602	nucleus	go2
C008613	mitochondria	go4
C008619	lysosome	go2
C008622	nucleus	go3
C008623	nucleus	go3
C008624	endoplasmic_reticulum	go3
C008625	endoplasmic_reticulum	go2
C008628	mitochondria	go4
C008646	endoplasmic_reticulum	go3
C008664	mitochondria	go2
C008668	lysosome	go4
C008672	lysosome	go1
C008675	nucleus	go1
C008681	nucleus	go1
C008710	nucleus	go3
C008719	nucleus	go4
C008727	endoplasmic_reticulum	go1
C008730	endoplasmic_reticulum	go3
C008731	nucleus	go2
C008732	mitochondria	go4
C008740	endoplasmic_reticulum	go4
C008748	lysosome	go4
C008780	lysosome	go3
C008811	nucleus	go1
C008814	nucleus	go2
C008824	endoplasmic_reticulum	go4
C008842	mitochondria	go2
C008847	mitochondria	go3
C008852	endoplasmic_reticulum	go3
C008857	lysosome	go2
C008859	nucleus	go2
C008861	endoplasmic_reticulum	go4
C008865	nucleus	go1
C008866	mitochondria	go4
C008918	endoplasmic_reticulum	go4
C008926	nucleus	go3
C008967	nucleus	go2
C008974	nucleus	go1
C008981	nucleus	go1
C008992	endoplasmic_reticulum	go4
C008995	mitochondria	go4
C008997	mitochondria	go3
C009001	endoplasmic_reticulum	go4
C009004	mitochondria	go2
C009038	lysosome	go2
C009045	mitochondria	go3
C009054	lysosome	go2
C009056	mitochondria	go2
C009075	endoplasmic_reticulum	go3
C009088	mitochondria	go3
C009102	nucleus	go3
C009124	endoplasmic_reticulum	go3
C009131	mitochondria	go3
C009134	nucleus	go1
C009139	nucleus	go2
C009144	endoplasmic_reticulum	go4
C009146	endoplasmic_reticulum	go3
C009211	endoplasmic_reticulum	go3
C009220	mitochondria	go4
C009221	lysosome	go3
C009273	nucleus	go2
C009275	endoplasmic_reticulum	go3
C009278	mitochondria	go3
C009280	nucleus	go2
C009281	nucleus	go4
C009330	lysosome	go1
C009352	mitochondria	go4
C009354	mitochondria	go2
C009363	mitochondria	go4
C009370	endoplasmic_reticulum	go2
C009378	lysosome	go1
C009402	mitochondria	go2
C009415	lysosome	go4
C009416	mitochondria	go3
C009419	lysosome	go4
C009421	endoplasmic_reticulum	go3
C009469	lysosome	go4
C009491	lysosome	go1
C009515	endoplasmic_reticulum	go4
C009536	lysosome	go4
C009562	nucleus	go2
C009565	lysosome	go3
C009654	nucleus	go2
C009686	endoplasmic_reticulum	go1
C009702	endoplasmic_reticulum	go1
C009704	mitochondria	go3
C009759	endoplasmic_reticulum	go2
C009771	endoplasmic_reticulum	go2
C009806	endoplasmic_reticulum	go3
C009836	nucleus	go2
C009849	endoplasmic_reticulum	go3
C009859	endoplasmic_reticulum	go3
C009862	endoplasmic_reticulum	go3
C009906	mitochondria	go1
C009930	lysosome	go1
C009969	mitochondria	go1
C009988	nucleus	go4
C010021	nucleus	go2
C010128	nucleus	go3
C010135	mitochondria	go1
C010139	mitochondria	go3
C010141	mitochondria	go3
C010310	lysosome	go4
C010315	nucleus	go3
C011388	nucleus	go4
